Site,Treatment,N Rows,totalB,richB,div_hB,Treat2,abundS,richS,div_hS,richP,abundP,div_hP,plantnum,bird.rich.percap,Acnistus_arborescens,Capsicum_baccatum,Casearia_sylvestris,Trema_micrantha,total.pulp.mass.avg.,Grass,phylo_rank,spp_rich_treat,total.visits_selected,rich_selected,div_H_selected,bird_degree,visits.x.degree,bird_degree 2,visits.x.degree 2,PD
04AJ,CelIgu&TreMic,8,16,8,1.9600951351246,Hetero.same,28,5,0.9049961161306,1,1,0,12,0.6666666667,,,,273,5.824,90,2,2,11,5,1.5157079521,15.8,20,126,160,0.166769626
04AJ,Control,7,15,7,1.7489707507713,Control,41,1,0,0,0,0,0,,,,,,,,0,0,14,6,1.6114722043,16.0,16,112,112,
04AJ,TreMic,11,33,11,2.0837239522024,Intra,92,4,0.782691566164,2,2,0.6931471805599,24,0.4583333333,,,,497.5,10.613333333,100,1,1,26,7,1.6782241664,14.4,18.272727273,158,201,0
05PF1,AcnArb,4,6,4,1.3296613488548,Intra,24,2,0.2868359830562,1,1,0,24,0.1666666667,942.4,,,,288.21733333,40,1,1,6,4,1.3296613489,35.5,40,142,160,0
05PF1,AcnArb&CapBac,3,8,3,0.9743147528693,Hetero.same,7,2,0.4101163182884,0,0,0,12,0.25,179,170.42857143,,,78.570080952,60,2,2,4,1,0,4.0,4,12,12,0.143088167
05PF1,AcnArb&CasDec,7,17,7,1.5792331346113,Hetero.diff,239,10,1.4078595946921,3,8,0.7356219397588,12,0.5833333333,265,,,,81.045833333,30,3,2,15,5,1.2868726304,20.9,27.571428571,146,193,0.260444172
05PF1,AcnArb&CasSyl,4,4,4,1.3862943611199,Hetero.diff,140,5,0.3448471904943,1,1,0,12,0.3333333333,133.4,,80,,42.286166667,60,3,2,3,3,1.0986122887,25.0,25,100,100,0.257457838
05PF1,AcnArb&CelIgu,1,2,1,0,Hetero.diff,174,8,1.6292191239309,1,1,0,12,0.0833333333,243,,,,74.3175,40,3,2,2,1,0,10.0,20,10,20,0.254788341
05PF1,AcnArb&TreMic,4,8,4,1.2130075659799,Hetero.diff,200,12,1.5707021957369,3,4,1.0397207708399,12,0.3333333333,1050,,,300,327.525,15,3,2,7,3,0.9556998911,11.0,14.25,44,57,0.25403638
05PF1,All,4,7,4,1.2770342594661,Hetero.All,74,7,1.540411535077,9,19,1.9133036567532,4,1,350,164.54545455,20,356.92307692,138.03148019,20,6,6,5,2,0.673011667,17.3,31.5,69,126,0.431177611
