Site,Treatment,Plant Species,phylo_dist,Label,Data
2JM2,CasSylCelIgu,CelIgu,231.6,ant,1
2JM2,CasSylCelIgu,CelIgu,231.6,herbivore,2
2JM2,CasSylCelIgu,CelIgu,231.6,phloem_feeder,1
2JM2,CasSylCelIgu,CelIgu,231.6,pollinator,0
2JM2,CasSylCelIgu,CelIgu,231.6,predator,0
2JM2,CasSylTreMic,CasSyl,231.6,ant,0
2JM2,CasSylTreMic,CasSyl,231.6,herbivore,0
2JM2,CasSylTreMic,CasSyl,231.6,phloem_feeder,2
2JM2,CasSylTreMic,CasSyl,231.6,pollinator,0
2JM2,CasSylTreMic,CasSyl,231.6,predator,0
2JM2,CasSylTreMic,TreMic,231.6,ant,3
2JM2,CasSylTreMic,TreMic,231.6,herbivore,1
2JM2,CasSylTreMic,TreMic,231.6,phloem_feeder,5
2JM2,CasSylTreMic,TreMic,231.6,pollinator,0
2JM2,CasSylTreMic,TreMic,231.6,predator,0
2JM2,CelIgu,CelIgu,0,ant,0
2JM2,CelIgu,CelIgu,0,herbivore,0
2JM2,CelIgu,CelIgu,0,phloem_feeder,0
2JM2,CelIgu,CelIgu,0,pollinator,1
2JM2,CelIgu,CelIgu,0,predator,0
2JM2,CelIguTreMic,CelIgu,134.3,ant,1
2JM2,CelIguTreMic,CelIgu,134.3,herbivore,0
2JM2,CelIguTreMic,CelIgu,134.3,phloem_feeder,0
2JM2,CelIguTreMic,CelIgu,134.3,pollinator,1
2JM2,CelIguTreMic,CelIgu,134.3,predator,0
2JM2,CelIguTreMic,TreMic,134.3,ant,0
2JM2,CelIguTreMic,TreMic,134.3,herbivore,2
2JM2,CelIguTreMic,TreMic,134.3,phloem_feeder,1
2JM2,CelIguTreMic,TreMic,134.3,pollinator,1
2JM2,CelIguTreMic,TreMic,134.3,predator,0
2JM2,TreMic,TreMic,0,ant,2
2JM2,TreMic,TreMic,0,herbivore,1
2JM2,TreMic,TreMic,0,phloem_feeder,2
2JM2,TreMic,TreMic,0,pollinator,1
2JM2,TreMic,TreMic,0,predator,0
3SS,AcnArb,AcnArb,0,ant,0
3SS,AcnArb,AcnArb,0,herbivore,1
3SS,AcnArb,AcnArb,0,phloem_feeder,3
3SS,AcnArb,AcnArb,0,pollinator,0
3SS,AcnArb,AcnArb,0,predator,0
3SS,AcnArbCapBac,AcnArb,35.1,ant,0
3SS,AcnArbCapBac,AcnArb,35.1,herbivore,2
3SS,AcnArbCapBac,AcnArb,35.1,phloem_feeder,0
3SS,AcnArbCapBac,AcnArb,35.1,pollinator,0
3SS,AcnArbCapBac,AcnArb,35.1,predator,0
