site,Treatment,plant_sp,plant_id,Treat2,branching,avg.dbh.mm
05PF1,AcnArb&CasSyl,Casearia_sylvestris,CasSyl54a,Hetero.diff,1,1075.827114
05PF1,AcnArb&CasSyl,Casearia_sylvestris,CasSyl55a,Hetero.diff,1,574.3864625
05PF1,AcnArb&CasSyl,Casearia_sylvestris,CasSyl56a,Hetero.diff,2,100.0828293
05PF1,AcnArb&CelIgu,Acnistus_arborescens,AcnArb63p,Hetero.diff,1,2074.745659
05PF1,AcnArb&CelIgu,Acnistus_arborescens,AcnArb64p,Hetero.diff,1,2823.174707
05PF1,AcnArb&CelIgu,Acnistus_arborescens,AcnArb65p,Hetero.diff,2,1221.359913
05PF1,AcnArb&CelIgu,Acnistus_arborescens,AcnArb66p,Hetero.diff,1,3426.717247
05PF1,AcnArb&CelIgu,Celtis_iguanaea,CelIgu72p,Hetero.diff,1,46.9060265
05PF1,AcnArb&CelIgu,Celtis_iguanaea,CelIgu73p,Hetero.diff,1,71.2944065
05PF1,AcnArb&CelIgu,Celtis_iguanaea,CelIgu74p,Hetero.diff,1,47.6370185
05PF1,AcnArb&CelIgu,Celtis_iguanaea,CelIgu75p,Hetero.diff,1,49.8639065
05PF1,AcnArb&TreMic,Acnistus_arborescens,AcnArb56v,Hetero.diff,1,2847.707527
05PF1,AcnArb&TreMic,Acnistus_arborescens,AcnArb57v,Hetero.diff,1,948.482216
05PF1,AcnArb&TreMic,Acnistus_arborescens,AcnArb58v,Hetero.diff,1,3142.427927
05PF1,AcnArb&TreMic,Acnistus_arborescens,AcnArb59v,Hetero.diff,2,1955.63333
05PF1,AcnArb&TreMic,Trema_micrantha,TreMic45v,Hetero.diff,1,2049.79985
05PF1,AcnArb&TreMic,Trema_micrantha,TreMic46v,Hetero.diff,1,1475.189663
05PF1,AcnArb&TreMic,Trema_micrantha,TreMic47v,Hetero.diff,1,2390.193434
